t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
622,1,MS,0.42800000,1,403677.54538505,403677.54538505,0.00147501
623,1,MS,0.45400000,1,403631.21314699,403631.21314699,0.00147840
624,1,MS,0.47900000,1,403584.47378786,403584.47378786,0.00148167
625,1,MS,0.49900000,1,403537.19698561,403537.19698561,0.00148429
626,1,MS,0.52000000,1,403489.25884314,403489.25884314,0.00148704
627,1,MS,0.53300000,1,403440.67091579,403440.67091579,0.00148875
628,1,MS,0.55200000,1,403391.40157540,403391.40157540,0.00149125
629,1,MS,0.57000000,1,403341.61876910,403341.61876910,0.00149362
630,1,MS,0.58800000,1,403291.35206744,403291.35206744,0.00149600
631,1,MS,0.59400000,1,403240.71526530,403240.71526530,0.00149679
632,1,MS,0.61000000,1,403189.71760647,403189.71760647,0.00149891
633,1,MS,0.62200000,1,403138.43959621,403138.43959621,0.00150049
634,1,MS,0.63700000,1,403086.91695940,403086.91695940,0.00150248
635,1,MS,0.65000000,1,403035.20485475,403035.20485475,0.00150421
636,1,MS,0.66700000,1,402983.33286436,402983.33286436,0.00150646
637,1,MS,0.68100000,1,402931.36027089,402931.36027089,0.00150833
638,1,MS,0.69700000,1,402879.33094601,402879.33094601,0.00151046
639,1,MS,0.70400000,1,402827.31957650,402827.31957650,0.00151139
640,1,MS,0.71900000,1,402775.32032829,402775.32032829,0.00151339
641,1,MS,0.72900000,1,402723.38310302,402723.38310302,0.00151472
642,1,MS,0.73700000,1,402671.54158233,402671.54158233,0.00151579
643,1,MS,0.74600000,1,402619.80493445,402619.80493445,0.00151700
644,1,MS,0.75400000,1,402568.19346985,402568.19346985,0.00151807
645,1,MS,0.76400000,1,402516.62116256,402516.62116256,0.00151941
646,1,MS,0.76800000,1,402464.93628370,402464.93628370,0.00151994
647,1,MS,0.77500000,1,402412.75856478,402412.75856478,0.00152088
648,1,MS,0.79300000,1,402359.84045695,402359.84045695,0.00152329
649,1,MS,0.80200000,1,402306.02172645,402306.02172645,0.00152450
650,1,MS,0.79700000,1,402251.05259598,402251.05259598,0.00152383
651,1,MS,0.79300000,1,402194.94426328,402194.94426328,0.00152329
652,1,MS,0.80200000,1,402137.84905100,402137.84905100,0.00152450
653,1,MS,0.88900000,1,402079.58173499,402079.58173499,0.00153623
654,1,MS,1.15000000,1,402019.38949760,402019.38949760,0.00157192
655,1,MS,1.64900000,1,401956.12383703,401956.12383703,0.00164228
656,1,MS,2.05700000,1,401890.36197251,401890.36197251,0.00170193
657,1,MS,2.40100000,1,401822.55324621,401822.55324621,0.00175377
658,1,MS,2.72800000,1,401752.88220675,401752.88220675,0.00180437
659,1,MS,3.04500000,1,401681.51575666,401681.51575666,0.00185471
660,1,MS,3.32600000,1,401608.74640193,401608.74640193,0.00190040
661,1,MS,3.65800000,1,401534.31647692,401534.31647692,0.00195571
662,1,MS,4.01300000,1,401458.15529918,401458.15529918,0.00201648
663,1,MS,4.13000000,1,401381.87444656,401381.87444656,0.00203688
664,1,MS,4.14200000,1,401306.19552742,401306.19552742,0.00203899
665,1,MS,4.09500000,1,401231.50735933,401231.50735933,0.00203076
666,1,MS,4.02700000,1,401157.94276329,401157.94276329,0.00201891
667,1,MS,3.74700000,1,401086.76282306,401086.76282306,0.00197079
668,1,MS,3.56700000,1,401017.27582275,401017.27582275,0.00194040
669,1,MS,3.41300000,1,400949.14861870,400949.14861870,0.00191475
670,1,MS,3.51800000,1,400880.33949082,400880.33949082,0.00193221
671,1,MS,4.11500000,1,400807.15799942,400807.15799942,0.00203426
672,1,MS,4.92200000,1,400727.56002868,400727.56002868,0.00218004
673,1,MS,5.47500000,1,400642.54988637,400642.54988637,0.00228540
674,1,MS,5.76500000,1,400553.32468669,400553.32468669,0.00234249
675,1,MS,5.85000000,1,400461.38087099,400461.38087099,0.00235947
676,1,MS,5.46300000,1,400370.71181941,400370.71181941,0.00228306
677,1,MS,4.97100000,1,400282.51865453,400282.51865453,0.00218920
678,1,MS,4.37300000,1,400197.83759575,400197.83759575,0.00207986
679,1,MS,3.87300000,1,400116.13276079,400116.13276079,0.00199231
680,1,MS,3.63100000,1,400035.70236259,400035.70236259,0.00195116
681,1,MS,3.58300000,1,399955.39799168,399955.39799168,0.00194309
682,1,MS,3.47800000,1,399875.77297018,399875.77297018,0.00192554
683,1,MS,3.42100000,1,399796.62168335,399796.62168335,0.00191608
684,1,MS,3.36400000,1,399718.04656050,399718.04656050,0.00190666
685,1,MS,3.38500000,1,399639.57753926,399639.57753926,0.00191012
686,1,MS,3.44400000,1,399561.05906402,399561.05906402,0.00191989
687,1,MS,3.52600000,1,399482.40605428,399482.40605428,0.00193355
688,1,MS,3.69000000,1,399403.13501606,399403.13501606,0.00196112
689,1,MS,3.74900000,1,399324.02532766,399324.02532766,0.00197113
690,1,MS,3.66400000,1,399246.08083805,399246.08083805,0.00195672
691,1,MS,3.81300000,1,399167.77415753,399167.77415753,0.00198203
692,1,MS,3.77700000,1,399090.36154851,399090.36154851,0.00197589
693,1,MS,3.78700000,1,399013.44137365,399013.44137365,0.00197760
694,1,MS,3.95200000,1,398935.60747901,398935.60747901,0.00200592
695,1,MS,4.43700000,1,398853.99383110,398853.99383110,0.00209132
696,1,MS,5.11100000,1,398766.35373272,398766.35373272,0.00221554
697,1,MS,5.78700000,1,398671.82967341,398671.82967341,0.00234687
698,1,MS,6.29000000,1,398571.23560973,398571.23560973,0.00244917
699,1,MS,6.45600000,1,398467.04651721,398467.04651721,0.00248382
700,1,MS,6.34400000,1,398362.32940208,398362.32940208,0.00246039
701,1,MS,6.03200000,1,398259.31115093,398259.31115093,0.00239620
702,1,MS,5.79400000,1,398157.71814825,398157.71814825,0.00234827
703,1,MS,5.74600000,1,398056.26112209,398056.26112209,0.00233871
704,1,MS,5.69300000,1,397955.25119919,397955.25119919,0.00232819
705,1,MS,5.65500000,1,397854.78747939,397854.78747939,0.00232068
706,1,MS,5.60000000,1,397755.20693782,397755.20693782,0.00230985
707,1,MS,5.58000000,1,397656.33252117,397656.33252117,0.00230592
708,1,MS,5.52600000,1,397558.53021803,397558.53021803,0.00229535
709,1,MS,5.47500000,1,397461.85149724,397461.85149724,0.00228540
710,1,MS,5.46300000,1,397366.04800758,397366.04800758,0.00228306
711,1,MS,5.51500000,1,397270.67856301,397270.67856301,0.00229320
712,1,MS,5.69700000,1,397174.78692830,397174.78692830,0.00232899
713,1,MS,5.96000000,1,397077.82608226,397077.82608226,0.00238161
