sum_dry_mass_laminae,sum_dry_mass_roots,sum_C_g,Cont_WSC_DM_shoot,mstruct_stem,mstruct,sum_dry_mass_stem,N_content_mstruct_roots,sum_dry_mass_shoot,N_content_mstruct,N_content_mstruct_shoot,sum_respi_roots,sum_N_g_shoot,plant,Tillers_Photosynthesis_An,Total_Transpiration,C_respired_shoot,NS_shoot,C_N_ratio_shoot,N_content_roots,C_N_ratio,mstruct_shoot,NS_laminae,axis,C_respired_roots,NS_stem,sum_NSC_g,C_exudated,Tillers_Photosynthesis,NS,sum_dry_mass,Cont_WSC_DM,sum_N_g,mstruct_laminae,dry_mass_phloem,sum_respi_shoot,NNI,Cont_WSC_DM_stem,senesced_mstruct,Total_Photosynthesis,N_content,NS_roots,t,N_content_total_DM_shoot,shoot_roots_ratio,Cont_WSC_DM_roots,Cont_WSC_DM_laminae,shoot_roots_mstruct_ratio,N_content_shoot
0.02242233,0.04289120,0.03234477,11.087854704881574,0.00706951,0.05643985,0.01153590,1.69750540,0.03395823,3.58458712,6.89621538,0.19417225,0.00141284,1,0.00000000,0.00002462,0.80669620,39.66961807,10.10976313,1.42290202,15.98743836,0.02048713,40.15955914,MS,0.85839709,38.71731981,0.00751123,0.38908864,0.00000000,26.55785179,0.07684943,11.197280433758246,0.00202314,0.01341762,0.00474228,0.42770497,0.94557115,14.496902844950855,0.00000000,0.00000000,2.63259779,16.17687825,30.00000000,4.16051308,0.79172961,11.283916022975085,9.333958078561672,0.56983501,4.16051308
0.02240165,0.04285797,0.03231994,10.92392529243043,0.00708167,0.05652557,0.01153338,1.69858949,0.03393502,3.58262290,6.88866268,0.19372189,0.00141350,1,0.00000000,0.00003917,0.80339396,39.53390005,10.09821747,1.42704080,15.95969208,0.02051918,40.01549943,MS,0.85531617,38.59847433,0.00744869,0.38205737,0.00000000,26.39227771,0.07679300,11.011847383717669,0.00202510,0.01343752,0.00465880,0.42051833,0.94666038,14.378900048862791,0.00000000,0.00000000,2.63708711,15.98671646,31.00000000,4.16530566,0.79180188,11.081464260657793,9.14514836944225,0.56987621,4.16530566
0.02238419,0.04282197,0.03229532,10.766144785619796,0.00709377,0.05661016,0.01153077,1.69920944,0.03391496,3.58059989,6.88168995,0.19163670,0.00141426,1,0.00000000,0.00005001,0.80640051,39.40394967,10.08675098,1.43085082,15.93270482,0.02055112,39.88008864,MS,0.84085535,38.47964134,0.00738685,0.37688730,0.00000000,26.22827128,0.07673692,10.828264563225504,0.00202698,0.01345736,0.00457308,0.42497636,0.94773461,14.256946325128133,0.00000000,0.00000000,2.64147044,15.79314591,32.00000000,4.17003230,0.79199910,10.87746337094336,8.967928088351762,0.56993006,4.17003230
0.02237021,0.04278414,0.03227112,10.613788669931516,0.00710602,0.05669461,0.01152737,1.69963203,0.03389758,3.57862075,6.87510240,0.19085938,0.00141513,1,0.00000000,0.00005811,0.79195789,39.27779452,10.07535411,1.43454740,15.90583427,0.02058336,39.75316157,MS,0.83518637,38.35528926,0.00732549,0.36355356,0.00000000,26.06499868,0.07668172,10.645705331316753,0.00202889,0.01347734,0.00448813,0.40744936,0.94879859,14.13240401959979,0.00000000,0.00000000,2.64585330,15.59658948,33.00000000,4.17471381,0.79229327,10.670992687284327,8.80064587112445,0.56999823,4.17471381
0.02235831,0.04274520,0.03224736,10.465334412727936,0.00711810,0.05677748,0.01152394,1.69960560,0.03388225,3.57666731,6.86930740,0.18817416,0.00141613,1,0.00000000,0.00007222,0.78233419,39.15611455,10.06346662,1.43785685,15.87959824,0.02061527,39.63239341,MS,0.81636893,38.23205645,0.00726527,0.35409188,0.00000000,25.90451792,0.07662745,10.466325421578746,0.00203074,0.01349718,0.00440442,0.40107641,0.94989853,14.007266961385806,0.00000000,0.00000000,2.65014888,15.40055802,34.00000000,4.17955352,0.79265617,10.46711095086366,8.639748366711855,0.57007801,4.17955352
0.02234671,0.04270734,0.03222418,10.321269956969083,0.00712996,0.05685784,0.01152041,1.69981954,0.03386712,3.57471029,6.86301066,0.18428888,0.00141698,1,0.00000000,0.00006265,0.77191772,39.03650486,10.05279956,1.44126520,15.85443191,0.02064658,39.51407549,MS,0.78930815,38.11013725,0.00720673,0.34467903,0.00000000,25.74830045,0.07657446,10.291705350651041,0.00203250,0.01351661,0.00432231,0.39824538,0.95089345,13.883934787619939,0.00000000,0.00000000,2.65428315,15.21069304,35.00000000,4.18393117,0.79300461,10.268260481431636,8.48460802632373,0.57017016,4.18393117
0.02233528,0.04267008,0.03220113,10.17908896126139,0.00714191,0.05693809,0.01151632,1.70062528,0.03385159,3.57275652,6.85561031,0.18357542,0.00141761,1,0.00000000,0.00004401,0.77316013,38.91531193,10.04372761,1.44514662,15.82942518,0.02067814,39.39526654,MS,0.78359682,37.98446572,0.00714837,0.33674275,0.00000000,25.59225532,0.07652167,10.117419410216522,0.00203426,0.01353623,0.00424068,0.39591813,0.95175640,13.76074318702145,0.00000000,0.00000000,2.65840755,15.02263123,36.00000000,4.18772817,0.79333327,10.06849490352821,8.332348365639112,0.57027555,4.18772817
0.02232640,0.04262981,0.03217823,10.037334218556412,0.00715407,0.05701855,0.01151291,1.70027176,0.03383930,3.57071547,6.84990253,0.18334180,0.00141863,1,0.00000000,0.00007829,0.77415756,38.79834292,10.03260984,1.44814170,15.80486929,0.02071022,39.28198895,MS,0.78043218,37.86043255,0.00709007,0.32876753,0.00000000,25.43586692,0.07646912,9.942939596379166,0.00203597,0.01355615,0.00416003,0.39156854,0.95278497,13.63621653544789,0.00000000,0.00000000,2.66247304,14.82880927,37.00000000,4.19225386,0.79379433,9.868009680798579,8.181522399458723,0.57039860,4.19225386
0.02231976,0.04258835,0.03215589,9.898154339051688,0.00716614,0.05709740,0.01150969,1.69908289,0.03382945,3.56871920,6.84570426,0.18072967,0.00141994,1,0.00000000,0.00010559,0.75943686,38.68644714,10.01990975,1.45041560,15.78089873,0.02074203,39.17544134,MS,0.76113572,37.73818214,0.00703304,0.31702993,0.00000000,25.28256521,0.07641779,9.771947977723155,0.00203765,0.01357589,0.00408224,0.37988717,0.95394193,13.511145537326536,0.00000000,0.00000000,2.66645544,14.63538313,38.00000000,4.19734450,0.79433571,9.671697758000235,8.035034066453502,0.57053550,4.19734450
0.02231208,0.04255114,0.03213459,9.765321524817653,0.00717767,0.05717213,0.01150564,1.69904421,0.03381772,3.56687208,6.83985983,0.17471965,0.00142081,1,0.00000000,0.00007333,0.72531932,38.57506651,10.01005217,1.45341641,15.75799497,0.02077252,39.06955519,MS,0.72008845,37.61613965,0.00697885,0.30467554,0.00000000,25.13688288,0.07636887,9.609333207857883,0.00203926,0.01359485,0.00400812,0.36103376,0.95485894,13.392272099470237,0.00000000,0.00000000,2.67027162,14.45682203,39.00000000,4.20137935,0.79475479,9.48536074532494,7.895016222741486,0.57067976,4.20137935
