t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
514,1,MS,408567.59217457,7.08000000,0.00261809,408567.59217457,1
515,1,MS,408512.29637433,7.11000000,0.00262471,408512.29637433,1
516,1,MS,408457.29743009,7.19000000,0.00264244,408457.29743009,1
517,1,MS,408402.64230032,7.28000000,0.00266251,408402.64230032,1
518,1,MS,408348.37143179,7.38000000,0.00268498,408348.37143179,1
519,1,MS,408294.66269061,7.46000000,0.00270308,408294.66269061,1
520,1,MS,408242.45275200,7.34000000,0.00267597,408242.45275200,1
521,1,MS,408192.16202292,7.10000000,0.00262250,408192.16202292,1
522,1,MS,408143.89096753,6.82000000,0.00256136,408143.89096753,1
523,1,MS,408098.42942472,6.29600000,0.00245042,408098.42942472,1
524,1,MS,408055.33819747,5.83100000,0.00235566,408055.33819747,1
525,1,MS,408013.78841433,5.54700000,0.00229945,408013.78841433,1
526,1,MS,407972.31369076,5.61700000,0.00231319,407972.31369076,1
527,1,MS,407930.00536665,5.85100000,0.00235967,407930.00536665,1
528,1,MS,407885.35376464,6.41000000,0.00247417,407885.35376464,1
529,1,MS,407839.09384595,6.68100000,0.00253149,407839.09384595,1
530,1,MS,407790.88953894,6.92500000,0.00258413,407790.88953894,1
531,1,MS,407741.05457576,7.03500000,0.00260819,407741.05457576,1
532,1,MS,407690.49373860,6.91700000,0.00258239,407690.49373860,1
533,1,MS,407639.88914065,6.67900000,0.00253106,407639.88914065,1
534,1,MS,407589.66122735,6.37400000,0.00246665,407589.66122735,1
535,1,MS,407540.11522216,6.06200000,0.00240231,407540.11522216,1
536,1,MS,407490.94942795,5.84200000,0.00235787,407490.94942795,1
537,1,MS,407441.34433250,5.87100000,0.00236368,407441.34433250,1
538,1,MS,407391.94522850,5.78500000,0.00234647,407391.94522850,1
539,1,MS,407343.46069206,5.55400000,0.00230082,407343.46069206,1
540,1,MS,407294.96582982,5.56900000,0.00230376,407294.96582982,1
541,1,MS,407246.67814086,5.56200000,0.00230239,407246.67814086,1
542,1,MS,407198.49749357,5.60400000,0.00231063,407198.49749357,1
543,1,MS,407150.62803251,5.61200000,0.00231221,407150.62803251,1
544,1,MS,407103.42521278,5.55800000,0.00230161,407103.42521278,1
545,1,MS,407056.91752808,5.49500000,0.00228929,407056.91752808,1
546,1,MS,407011.14577819,5.43400000,0.00227743,407011.14577819,1
547,1,MS,406966.07269795,5.38600000,0.00226813,406966.07269795,1
548,1,MS,406921.91738599,5.28500000,0.00224869,406921.91738599,1
549,1,MS,406878.89820375,5.10800000,0.00221497,406878.89820375,1
550,1,MS,406836.68123872,4.99000000,0.00219275,406836.68123872,1
551,1,MS,406794.47786699,5.03300000,0.00220083,406794.47786699,1
552,1,MS,406750.78359641,5.43300000,0.00227724,406750.78359641,1
553,1,MS,406705.01916823,5.88700000,0.00236689,406705.01916823,1
554,1,MS,406657.41143129,6.19100000,0.00242872,406657.41143129,1
555,1,MS,406608.66877961,6.25500000,0.00244192,406608.66877961,1
556,1,MS,406558.79102624,6.27100000,0.00244523,406558.79102624,1
557,1,MS,406510.45766187,5.67300000,0.00232424,406510.45766187,1
558,1,MS,406463.88741993,5.02500000,0.00219932,406463.88741993,1
559,1,MS,406419.11421405,4.38800000,0.00208254,406419.11421405,1
560,1,MS,406375.85340266,3.80900000,0.00198135,406375.85340266,1
561,1,MS,406333.74106686,3.34000000,0.00190270,406333.74106686,1
562,1,MS,406292.42989912,2.98400000,0.00184492,406292.42989912,1
563,1,MS,406251.33967761,2.81300000,0.00181775,406251.33967761,1
564,1,MS,406210.00971696,2.79800000,0.00181538,406210.00971696,1
565,1,MS,406168.21393860,2.86300000,0.00182566,406168.21393860,1
566,1,MS,406125.78116266,3.00500000,0.00184829,406125.78116266,1
567,1,MS,406082.93828291,3.10600000,0.00186454,406082.93828291,1
568,1,MS,406040.02525008,3.13100000,0.00186859,406040.02525008,1
569,1,MS,405997.04184681,3.17200000,0.00187523,405997.04184681,1
570,1,MS,405954.15468901,3.18100000,0.00187670,405954.15468901,1
571,1,MS,405911.57507554,3.14100000,0.00187020,405911.57507554,1
572,1,MS,405869.27762172,3.11600000,0.00186616,405869.27762172,1
573,1,MS,405827.64072559,2.98500000,0.00184508,405827.64072559,1
574,1,MS,405786.74670825,2.80800000,0.00181696,405786.74670825,1
575,1,MS,405745.81146628,2.83300000,0.00182091,405745.81146628,1
576,1,MS,405704.54238603,2.91700000,0.00183423,405704.54238603,1
577,1,MS,405662.28264179,3.13700000,0.00186956,405662.28264179,1
578,1,MS,405619.03640505,3.31000000,0.00189777,405619.03640505,1
579,1,MS,405575.56908400,3.23200000,0.00188500,405575.56908400,1
580,1,MS,405532.14308308,3.06800000,0.00185841,405532.14308308,1
581,1,MS,405489.04873607,2.82400000,0.00181948,405489.04873607,1
582,1,MS,405446.19290826,2.60600000,0.00178534,405446.19290826,1
583,1,MS,405403.11445916,2.52500000,0.00177280,405403.11445916,1
584,1,MS,405360.01284482,2.41800000,0.00175636,405360.01284482,1
585,1,MS,405317.22905963,2.23700000,0.00172888,405317.22905963,1
586,1,MS,405274.70776948,2.08500000,0.00170610,405274.70776948,1
587,1,MS,405232.22072733,2.01600000,0.00169585,405232.22072733,1
588,1,MS,405189.82125445,1.93500000,0.00168389,405189.82125445,1
589,1,MS,405147.53285223,1.86600000,0.00167376,405147.53285223,1
590,1,MS,405105.30754227,1.81400000,0.00166617,405105.30754227,1
591,1,MS,405063.20991000,1.75900000,0.00165817,405063.20991000,1
592,1,MS,405021.24179525,1.71200000,0.00165136,405021.24179525,1
593,1,MS,404979.40297930,1.67100000,0.00164544,404979.40297930,1
594,1,MS,404937.73976094,1.62500000,0.00163883,404937.73976094,1
595,1,MS,404896.26227963,1.57900000,0.00163224,404896.26227963,1
596,1,MS,404855.01333199,1.52500000,0.00162453,404855.01333199,1
597,1,MS,404813.99534602,1.46800000,0.00161643,404813.99534602,1
598,1,MS,404773.01499455,1.43700000,0.00161204,404773.01499455,1
599,1,MS,404731.81482607,1.43000000,0.00161105,404731.81482607,1
600,1,MS,404690.18825356,1.43200000,0.00161133,404690.18825356,1
601,1,MS,404647.77178898,1.47700000,0.00161771,404647.77178898,1
602,1,MS,404604.19365427,1.57800000,0.00163209,404604.19365427,1
603,1,MS,404559.87409039,1.54600000,0.00162752,404559.87409039,1
604,1,MS,404514.85025296,1.48400000,0.00161870,404514.85025296,1
605,1,MS,404469.17287807,1.42200000,0.00160992,404469.17287807,1
606,1,MS,404423.02981082,1.34600000,0.00159922,404423.02981082,1
607,1,MS,404376.62153803,1.25600000,0.00158663,404376.62153803,1
608,1,MS,404330.01499015,1.16400000,0.00157386,404330.01499015,1
609,1,MS,404283.27513584,1.07700000,0.00156186,404283.27513584,1
610,1,MS,404236.43980173,0.99900000,0.00155118,404236.43980173,1
611,1,MS,404189.46363627,0.95200000,0.00154478,404189.46363627,1
612,1,MS,404142.33991474,0.92200000,0.00154070,404142.33991474,1
613,1,MS,404095.22594314,0.87200000,0.00153393,404095.22594314,1
614,1,MS,404048.16986141,0.82000000,0.00152692,404048.16986141,1
615,1,MS,404001.21673087,0.76500000,0.00151954,404001.21673087,1
616,1,MS,403954.42268909,0.70500000,0.00151152,403954.42268909,1
617,1,MS,403907.81767898,0.64500000,0.00150354,403907.81767898,1
618,1,MS,403861.43379556,0.58000000,0.00149494,403861.43379556,1
619,1,MS,403815.28740052,0.51400000,0.00148626,403815.28740052,1
620,1,MS,403769.37156530,0.45300000,0.00147827,403769.37156530,1
621,1,MS,403723.57179922,0.40900000,0.00147253,403723.57179922,1
622,1,MS,403677.54538505,0.42800000,0.00147501,403677.54538505,1
623,1,MS,403631.21314699,0.45400000,0.00147840,403631.21314699,1
624,1,MS,403584.47378786,0.47900000,0.00148167,403584.47378786,1
625,1,MS,403537.19698561,0.49900000,0.00148429,403537.19698561,1
626,1,MS,403489.25884314,0.52000000,0.00148704,403489.25884314,1
627,1,MS,403440.67091579,0.53300000,0.00148875,403440.67091579,1
628,1,MS,403391.40157540,0.55200000,0.00149125,403391.40157540,1
629,1,MS,403341.61876910,0.57000000,0.00149362,403341.61876910,1
630,1,MS,403291.35206744,0.58800000,0.00149600,403291.35206744,1
631,1,MS,403240.71526530,0.59400000,0.00149679,403240.71526530,1
632,1,MS,403189.71760647,0.61000000,0.00149891,403189.71760647,1
633,1,MS,403138.43959621,0.62200000,0.00150049,403138.43959621,1
634,1,MS,403086.91695940,0.63700000,0.00150248,403086.91695940,1
635,1,MS,403035.20485475,0.65000000,0.00150421,403035.20485475,1
636,1,MS,402983.33286436,0.66700000,0.00150646,402983.33286436,1
637,1,MS,402931.36027089,0.68100000,0.00150833,402931.36027089,1
638,1,MS,402879.33094601,0.69700000,0.00151046,402879.33094601,1
639,1,MS,402827.31957650,0.70400000,0.00151139,402827.31957650,1
640,1,MS,402775.32032829,0.71900000,0.00151339,402775.32032829,1
641,1,MS,402723.38310302,0.72900000,0.00151472,402723.38310302,1
642,1,MS,402671.54158233,0.73700000,0.00151579,402671.54158233,1
643,1,MS,402619.80493445,0.74600000,0.00151700,402619.80493445,1
644,1,MS,402568.19346985,0.75400000,0.00151807,402568.19346985,1
645,1,MS,402516.62116256,0.76400000,0.00151941,402516.62116256,1
646,1,MS,402464.93628370,0.76800000,0.00151994,402464.93628370,1
647,1,MS,402412.75856478,0.77500000,0.00152088,402412.75856478,1
648,1,MS,402359.84045695,0.79300000,0.00152329,402359.84045695,1
649,1,MS,402306.02172645,0.80200000,0.00152450,402306.02172645,1
650,1,MS,402251.05259598,0.79700000,0.00152383,402251.05259598,1
651,1,MS,402194.94426328,0.79300000,0.00152329,402194.94426328,1
652,1,MS,402137.84905100,0.80200000,0.00152450,402137.84905100,1
653,1,MS,402079.58173499,0.88900000,0.00153623,402079.58173499,1
654,1,MS,402019.38949760,1.15000000,0.00157192,402019.38949760,1
655,1,MS,401956.12383703,1.64900000,0.00164228,401956.12383703,1
656,1,MS,401890.36197251,2.05700000,0.00170193,401890.36197251,1
657,1,MS,401822.55324621,2.40100000,0.00175377,401822.55324621,1
658,1,MS,401752.88220675,2.72800000,0.00180437,401752.88220675,1
659,1,MS,401681.51575666,3.04500000,0.00185471,401681.51575666,1
660,1,MS,401608.74640193,3.32600000,0.00190040,401608.74640193,1
661,1,MS,401534.31647692,3.65800000,0.00195571,401534.31647692,1
662,1,MS,401458.15529918,4.01300000,0.00201648,401458.15529918,1
663,1,MS,401381.87444656,4.13000000,0.00203688,401381.87444656,1
664,1,MS,401306.19552742,4.14200000,0.00203899,401306.19552742,1
665,1,MS,401231.50735933,4.09500000,0.00203076,401231.50735933,1
666,1,MS,401157.94276329,4.02700000,0.00201891,401157.94276329,1
667,1,MS,401086.76282306,3.74700000,0.00197079,401086.76282306,1
668,1,MS,401017.27582275,3.56700000,0.00194040,401017.27582275,1
669,1,MS,400949.14861870,3.41300000,0.00191475,400949.14861870,1
670,1,MS,400880.33949082,3.51800000,0.00193221,400880.33949082,1
671,1,MS,400807.15799942,4.11500000,0.00203426,400807.15799942,1
672,1,MS,400727.56002868,4.92200000,0.00218004,400727.56002868,1
673,1,MS,400642.54988637,5.47500000,0.00228540,400642.54988637,1
674,1,MS,400553.32468669,5.76500000,0.00234249,400553.32468669,1
675,1,MS,400461.38087099,5.85000000,0.00235947,400461.38087099,1
676,1,MS,400370.71181941,5.46300000,0.00228306,400370.71181941,1
677,1,MS,400282.51865453,4.97100000,0.00218920,400282.51865453,1
678,1,MS,400197.83759575,4.37300000,0.00207986,400197.83759575,1
679,1,MS,400116.13276079,3.87300000,0.00199231,400116.13276079,1
680,1,MS,400035.70236259,3.63100000,0.00195116,400035.70236259,1
681,1,MS,399955.39799168,3.58300000,0.00194309,399955.39799168,1
682,1,MS,399875.77297018,3.47800000,0.00192554,399875.77297018,1
683,1,MS,399796.62168335,3.42100000,0.00191608,399796.62168335,1
684,1,MS,399718.04656050,3.36400000,0.00190666,399718.04656050,1
685,1,MS,399639.57753926,3.38500000,0.00191012,399639.57753926,1
686,1,MS,399561.05906402,3.44400000,0.00191989,399561.05906402,1
687,1,MS,399482.40605428,3.52600000,0.00193355,399482.40605428,1
688,1,MS,399403.13501606,3.69000000,0.00196112,399403.13501606,1
689,1,MS,399324.02532766,3.74900000,0.00197113,399324.02532766,1
690,1,MS,399246.08083805,3.66400000,0.00195672,399246.08083805,1
691,1,MS,399167.77415753,3.81300000,0.00198203,399167.77415753,1
692,1,MS,399090.36154851,3.77700000,0.00197589,399090.36154851,1
693,1,MS,399013.44137365,3.78700000,0.00197760,399013.44137365,1
694,1,MS,398935.60747901,3.95200000,0.00200592,398935.60747901,1
695,1,MS,398853.99383110,4.43700000,0.00209132,398853.99383110,1
696,1,MS,398766.35373272,5.11100000,0.00221554,398766.35373272,1
697,1,MS,398671.82967341,5.78700000,0.00234687,398671.82967341,1
698,1,MS,398571.23560973,6.29000000,0.00244917,398571.23560973,1
699,1,MS,398467.04651721,6.45600000,0.00248382,398467.04651721,1
700,1,MS,398362.32940208,6.34400000,0.00246039,398362.32940208,1
701,1,MS,398259.31115093,6.03200000,0.00239620,398259.31115093,1
702,1,MS,398157.71814825,5.79400000,0.00234827,398157.71814825,1
703,1,MS,398056.26112209,5.74600000,0.00233871,398056.26112209,1
704,1,MS,397955.25119919,5.69300000,0.00232819,397955.25119919,1
705,1,MS,397854.78747939,5.65500000,0.00232068,397854.78747939,1
706,1,MS,397755.20693782,5.60000000,0.00230985,397755.20693782,1
